id;start_date;end_date;language
1;2020-01-22T09:16:46;2020-01-22T07:07:01;SPANISH
2;2020-01-21T14:06:57;2020-01-22T09:11:22;SPANISH
3;2020-01-22T05:02:16;2020-01-21T15:36:25;FRENCH
4;2020-01-21T20:19:47;2020-01-22T07:51:13;FRENCH
5;2020-01-22T05:50:05;2020-01-22T10:37:04;FRENCH
6;2020-01-21T23:42:26;2020-01-22T11:50:40;FRENCH
7;2020-01-22T01:27:46;2020-01-21T19:18:37;FRENCH
8;2020-01-22T00:23:59;2020-01-22T10:40:07;SPANISH
9;2020-01-21T23:05:08;2020-01-21T19:46:31;SPANISH
10;2020-01-22T07:17:12;2020-01-21T17:51:42;SPANISH
